sku,description,name,web,preis,"eu-vn-kurse
",gewicht kg,vn-preis,kundenpreis,Posted
,,,,,,,0,,
,,,,,,,0,,
,,,,,,,0,,
1561328994-1,"Height = 8,5''

Quarz movement
Five leaves are decorating the lovely carving
10 different melodies which are changing each hour
Automatic night time shut off",Fünflaub 22cm,https://www.uhren-park.de/product_info.php/info/p562_Eble--Fuenflaub-22cm--85990000.html,"59,99","26,5","3,5","2136,96","2,564,352",
1561329122-14,"Height = 12''

Quartz movement
Five leaves are decorating the lovely carving
12 different melodies which are changing each hour
Automatic night time shut off
Shut off lever for music or cuckoo sound
Packed in an extravagant gift packaging",Fünflaub 30cm,https://www.uhren-park.de/product_info.php/info/p1623_Eble--Fuenflaub-30cm--55400000.html,"69,99","26,5","3,5","2401,96","2,882,352",
1561329213-30,"Height = 8,5''

Quarz movement
Five leaves are decorating the lovely carving
Hand painted
10 different melodies which are changing each hour
Automatic night time shut off
Packed in an extravagant",Bemalt 22cm,https://www.uhren-park.de/product_info.php/info/p3778_Eble--Bemalt-22cm--85990001.html,"69,99","26,5","3,5","2401,96","2,882,352",
1561329228-37,"Hight x Width = 24 x 20cm

Black Forest house
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Fachwerkhaus 24cm,https://www.uhren-park.de/product_info.php/info/p8835_Eble--Fachwerkhaus-24cm--60810000.html,"89,9","26,5","3,5","2,929,575","3515,49",
1561329657-120,"Height x Width = 25 x 20cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Hand shingeld roof
Wooden hands",Heidi Haus II 25cm,,"94,9","26,5","3,5","3,062,075","3674,49",
1561329641-119,"Height x Width = 25 x 20cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Hand shingeld roof
Wooden hands",Heidi Haus 25cm,,"94,9","26,5","3,5","3,062,075","3674,49",
1561329100-12,"Height = 8,5''
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Five leaves are decorating the lovely carving. Lovely hand painted flowers.",Bemalt 22cm,https://www.uhren-park.de/product_info.php/info/p496_Engstler--Bemalt-22cm--522-6-Q.html,95,"26,5","3,5","3,064,725","3677,67",
1561329098-11,"Height = 8,5''
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Five leaves are decorating the lovely carving. Lovely hand painted flowers.",Edelweis bemalt 22cm,https://www.uhren-park.de/product_info.php/info/p497_Engstler--Edelweis-bemalt-22cm--522-10-Q.html,96,"26,5","3,5","3,091,225","3709,47",
1561329115-13,"Height = 8,5''
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Two squirrels are sitting facing one another and are watching the time",Eichhörnchen 22cm,https://www.uhren-park.de/product_info.php/info/p495_Engstler--Eichhoernchen-22cm--622-Q.html,96,"26,5","3,5","3,091,225","3709,47",
1561329330-78,"Height x Width = 25 x 17cm

Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",5-Laub bemalt 25cm,https://www.uhren-park.de/product_info.php/info/p16855_Engstler--5-Laub-bemalt-25cm--522-21-Q.html,96,"26,5","3,5","3,091,225","3709,47",
1561329332-79,"Height x Width = 25 x 17cm

Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",5-Laub geflammt 25cm,https://www.uhren-park.de/product_info.php/info/p16856_Engstler--5-Laub-geflammt-25cm--522-22-Q.html,99,"26,5","3,5","3,170,725","3804,87",
1561329326-76,"Height x Width = 25 x 17cm

Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor",Fünflaub weiß 25cm,https://www.uhren-park.de/product_info.php/info/p16827_Engstler--Fuenflaub-wei--25cm--522-23-Q.html,107,"26,5","3,5","3,382,725","4059,27",
1561329276-59,"Hight x Width x Depth = 18 x 23 x 10cm

Battery driven quarz movement with a cuckoos call
Shut off lever
The cuckoo comes out while he is calling
Wall or table clock
Wooden case white and black laquered
Black hands",Modern Cuckoo,https://www.uhren-park.de/product_info.php/info/p11895_AMS--Modern-Cuckoo--7397.html,"107,1","26,5","3,5","3,385,375","4062,45",
1561329278-60,"Hight x Width x Depth = 18 x 23 x 10cm

Battery driven quarz movement with a cuckoos call
Shut off lever
The cuckoo comes out while he is calling
Wall or table clock
Wooden case white and green laquered
Green hands",Modern Cuckoo,https://www.uhren-park.de/product_info.php/info/p11893_AMS--Modern-Cuckoo--7395.html,"107,1","26,5","3,5","3,385,375","4062,45",
1561329296-62,"Hight x Width x Depth = 34 x 30 x 10cm

Battery driven quarz movement with a cuckoos call
Shut off lever
The cuckoo comes out while he is calling
Wooden case white and green laquered
White hands",Flying Bird,https://www.uhren-park.de/product_info.php/info/p11890_AMS--Flying-Bird--7389.html,"107,1","26,5","3,5","3,385,375","4062,45",
1561329281-61,"Hight x Width x Depth = 34 x 30 x 10cm

Battery driven quarz movement with a cuckoos call
Shut off lever
The cuckoo comes out while he is calling
Wooden case white and black laquered
White hands",Flying Bird,https://www.uhren-park.de/product_info.php/info/p11892_AMS--Flying-Bird--7391.html,"107,1","26,5","3,5","3,385,375","4062,45",
1561329215-31,"Height x Width = 39 x 20cm

Quarz movement with pendulum
A cuckoo's call each full hour
Automatic night time shut off
Wooden case anthracite lacquered",AMS 7287,https://www.uhren-park.de/product_info.php/info/p6212_AMS-7287.html,"107,1","26,5","3,5","3,385,375","4062,45",
1561329217-32,"Height x Width = 39 x 20cm

Quarz movement with pendulum
A cuckoo's call each full hour
Automatic night time shut off
Wooden case white lacquered",AMS 7286,https://www.uhren-park.de/product_info.php/info/p6211_AMS-7286.html,"107,1","26,5","3,5","3,385,375","4062,45",
1561329126-16,"Hight = 31cm
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Silver laquered carving and black coloured case. Quartz mechanism with cuckoo call every full hour. Automatic night time shut off with light sensor.",Modern Style 31cm,https://www.uhren-park.de/product_info.php/info/p2191_Engstler--Modern-Style-31cm--522-5-13-Q.html,108,"26,5","3,5","3,409,225","4091,07",
1561329262-52,"Hight x Width = 31 x 17

Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Modern Style 31cm,https://www.uhren-park.de/product_info.php/info/p11642_Engstler--Modern-Style-31cm--522-5-14-Q.html,108,"26,5","3,5","3,409,225","4091,07",
1561329096-10,"Height = 8 1/2''
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Decorative carving with leaves. Very traditional carving.",Ranken 22cm,https://www.uhren-park.de/product_info.php/info/p499_Engstler--Ranken-22cm--525-Q.html,110,"26,5","3,5","3,462,225","4154,67",
1561329093-9,"Height = 13,75''
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Five leaves are decorating the lovely carving.",Fünflaub 35cm,https://www.uhren-park.de/product_info.php/info/p500_Engstler--Fuenflaub-35cm--532-Q.html,113,"26,5","3,5","3,541,725","4250,07",
1561329457-107,"Height x Width = 21 x 26cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof",Heidi's Chalet 21cm,,114,"26,5","3,5","3,568,225","4281,87",
1561329580-115,"Height x Width = 19 x 20cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made",Waldhaus 20cm,,115,"26,5","3,5","3,594,725","4313,67",
1561329342-84,"Height x Width = 26 x 17cm

Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Wooden hands",Dreivogel 26cm,https://www.uhren-park.de/product_info.php/info/p17275_Trenkle--Dreivogel-26cm--372-QM.html,120,"26,5","3,5","3,727,225","4472,67",
1561329140-23,"Hight = 26cm

Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Eichenlaub 26cm,https://www.uhren-park.de/product_info.php/info/p2661_Engstler--Eichenlaub-26cm--436-Q.html,123,"26,5","3,5","3,806,725","4568,07",
1561329091-8,"Hight = 35cm

Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Three hand-carved birds decorate this classic wood-carving. This motif was one of the very first ones, when the cuckoo clock was invented in 1738.",Dreivogel 35cm,https://www.uhren-park.de/product_info.php/info/p502_Engstler--Dreivogel-35cm--632-Q.html,124,"26,5","3,5","3,833,225","4599,87",
1561329344-85,"Height x Width = 33 x 16cm

Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Wooden hands",Fünflaub Hirsch 33cm,https://www.uhren-park.de/product_info.php/info/p17274_Trenkle--Fuenflaub-Hirsch-33cm--373-QM.html,124,"26,5","3,5","3,833,225","4599,87",
1561329310-69,"Height x Width = 35 x 24cm

Solid wood
Case white laquered
Carving silver laquered
Birds, pendulums disc and weights are black laquered
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Modern Style 35cm,https://www.uhren-park.de/product_info.php/info/p14231_Engstler--Modern-Style-35cm--632-20-Q.html,125,"26,5","3,5","3,859,725","4631,67",
1561329380-102,"Height x Width = 20 x 20cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Wooden hands",Blockhaus 20cm,,125,"26,5","3,5","3,859,725","4631,67",
1561329318-73,"Height x Width = 30 x 20cm

Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Shut off lever
Automatic night time shut off with light sensor",Dreivogel 30cm,https://www.uhren-park.de/product_info.php/info/p14796_Engstler--Dreivogel-30cm--630-Q.html,125,"26,5","3,5","3,859,725","4631,67",
1561329075-7,"Height = 11''
Black Forest house
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Detailed crafted model with children figurines, bambi and fir",Schwarzwaldhaus 29cm,https://www.uhren-park.de/product_info.php/info/p505_Engstler--Schwarzwaldhaus-29cm--429-Q.html,129,"26,5","3,5","3,965,725","4758,87",
1561329549-113,"Height x Width = 21 x 29cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Wooden hands",Musikanten 21cm,,130,"26,5","3,5","3,992,225","4790,67",
1561329211-29,"Hight x Wifth = 21 x 22cm

Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour

Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Musikanten 21cm,https://www.uhren-park.de/product_info.php/info/p3697_Trenkle--Musikanten-21cm--458-Q.html,135,"26,5","3,5","4,124,725","4949,67",
1561329272-57,"Hight x Width = 24 x 27cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Fachwerkhaus 24cm,https://www.uhren-park.de/product_info.php/info/p11741_Engstler--Fachwerkhaus-24cm--416-Q.html,135,"26,5","3,5","4,124,725","4949,67",
1561329395-103,"Height x Width = 26 x 18cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Wooden weights",Hirschkopf weiß 26cm,,136,"26,5","3,5","4,151,225","4981,47",
1561329411-104,"Height x Width = 26 x 18cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Wooden weights",Hirschkopf 26cm,,136,"26,5","3,5","4,151,225","4981,47",
1561329040-4,"Height = 17''
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Silver laquered carving and black coloured case. Quartz mechanism with cuckoo call every full hour. Automatic night time shut off with light sensor.",Modern Style 42cm,https://www.uhren-park.de/product_info.php/info/p503_Engstler--Modern-Style-42cm--532-5-13-Q.html,137,"26,5","3,5","4,177,725","5013,27",
1561329264-53,"Hight x Width = 42 x 24cm

Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Modern style 42cm,https://www.uhren-park.de/product_info.php/info/p11655_Engstler--Modern-style-42cm--532-5-14-Q.html,137,"26,5","3,5","4,177,725","5013,27",
1561329565-114,"Height x Width = 19 x 20cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Wooden hands",Heidi 19cm,,138,"26,5","3,5","4,204,225","5045,07",
1561329346-86,"Height x Width = 20 x 19cm

Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Wooden hands",Schwarzwaldhaus 20cm,https://www.uhren-park.de/product_info.php/info/p17272_Trenkle--Schwarzwaldhaus-20cm--4226-QM.html,138,"26,5","3,5","4,204,225","5045,07",
1561329442-106,"Height x Width = 33 x 23cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Wooden hands",Heidihaus 33cm,,138,"26,5","3,5","4,204,225","5045,07",
1561329142-24,"Hight x Wifth = 33 x 25cm

Black Forest house
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Bernhardiner 33cm,https://www.uhren-park.de/product_info.php/info/p3606_Engstler--Bernhardiner-33cm--403-Q.html,139,"26,5","3,5","4,230,725","5076,87",
1561329243-43,"Height x Width = 32 x 27cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Schwarzwaldhaus 32cm,https://www.uhren-park.de/product_info.php/info/p8964_Engstler--Schwarzwaldhaus-32cm--20563.html,139,"26,5","3,5","4,230,725","5076,87",
1561329308-68,"Height x Width = 28 x 23cm

Black Forest house
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Tischuhr Schwarzwaldhaus 28cm,https://www.uhren-park.de/product_info.php/info/p14208_Engstler--Tischuhr-Schwarzwaldhaus-28cm--40310-Q.html,142,"26,5","3,5","4,310,225","5172,27",
1561329687-122,"Height x Width = 21 x 27cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Hand shingeld roof",Chalet 21cm,,143,"26,5","3,5","4,336,725","5204,07",
1561329348-87,"Height x Width = 20 x 19cm

Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Wooden hands",Schwarzwaldhaus ''Heidi'' 20cm,https://www.uhren-park.de/product_info.php/info/p17271_Trenkle--Schwarzwaldhaus---Heidi---20cm--4228-QM.html,144,"26,5","3,5","4,363,225","5235,87",
1561329363-94,"Height x Width = 25 x 25cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Wooden hands",Schwarzwaldhaus 25cm,,144,"26,5","3,5","4,363,225","5235,87",
1561329472-108,"Height x Width = 21 x 25cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Hand shingeld roof",Chalet 21cm,,145,"26,5","3,5","4,389,725","5267,67",
1561329338-82,"Height x Width = 31 x 24

Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof",Schwarzwaldhaus 31cm,https://www.uhren-park.de/product_info.php/info/p17269_Engstler--Schwarzwaldhaus-31cm--444-7-Q.html,146,"26,5","3,5","4,416,225","5299,47",
1561329060-6,"Height = 16''
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Three hand-carved birds decorate this classic wood-carving. This motif was one of the very first ones, when the cuckoo clock was invented in 1738.",Dreivogel 40cm,https://www.uhren-park.de/product_info.php/info/p506_Engstler--Dreivogel-40cm--638-Q.html,146,"26,5","3,5","4,416,225","5299,47",
1561329136-21,"Hight = 27cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof

Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor",Schwarzwaldhaus 27cm,https://www.uhren-park.de/product_info.php/info/p2663_Engstler--Schwarzwaldhaus-27cm--492-Q.html,146,"26,5","3,5","4,416,225","5299,47",
1561329250-46,"Hight x Wifth = 35 x 24cm

Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden weights
Wooden hands",Geflammt 35cm,https://www.uhren-park.de/product_info.php/info/p9042_Trenkle--Geflammt-35cm--374-QM-HZZG.html,146,"26,5","3,5","4,416,225","5299,47",
1561329138-22,"Hight = 38cm

Solid wood
Hand made

Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor",Eichhörnchen 38cm,https://www.uhren-park.de/product_info.php/info/p2662_Engstler--Eichhoernchen-38cm--533-Q.html,147,"26,5","3,5","4,442,725","5331,27",
1561329322-75,"Height x Width = 31 x 28cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Schwarzwaldhaus Natur 31cm,https://www.uhren-park.de/product_info.php/info/p16824_Engstler--Schwarzwaldhaus-Natur-31cm--444-22-Q.html,148,"26,5","3,5","4,469,225","5363,07",
1561329188-27,"Hight x Wifth = 24 x 21cm

Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour

Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Hänsel & Gretel 24cm,https://www.uhren-park.de/product_info.php/info/p3699_Trenkle--Haensel---Gretel-24cm--466-Q.html,148,"26,5","3,5","4,469,225","5363,07",
1561329234-40,"Hight x Wifth = 34 x 24cm

Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Bianca 34cm,https://www.uhren-park.de/product_info.php/info/p8913_Trenkle--Bianca-34cm--350-Q-WEISS.html,150,"26,5","3,5","4,522,225","5426,67",
1561329230-38,"Hight x Wifth = 34 x 24cm

Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Pink 34cm,https://www.uhren-park.de/product_info.php/info/p8916_Trenkle--Pink-34cm--350-20-Q-PINK.html,150,"26,5","3,5","4,522,225","5426,67",
1561329328-77,"Height x Width = 30 x 28cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor",Schwarzwaldhaus weiß 30cm,https://www.uhren-park.de/product_info.php/info/p16826_Engstler--Schwarzwaldhaus-wei--30cm--444-3-Q.html,151,"26,5","3,5","4,548,725","5458,47",
1561329204-28,"Hight x Wifth = 22 x 26cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour

Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Schwarzwaldhaus 22cm,https://www.uhren-park.de/product_info.php/info/p3698_Trenkle--Schwarzwaldhaus-22cm--459-Q.html,152,"26,5","3,5","4,575,225","5490,27",
1561329232-39,"Table clock (also suitable to hang onto the wall)

Hight x Width = 18 x 27cm

Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Tischuhr 18cm,https://www.uhren-park.de/product_info.php/info/p8915_Trenkle--Tischuhr-18cm--487-QM.html,154,"26,5","3,5","4,628,225","5553,87",
1561329222-34,"Hight x Wifth = 22 x 26cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Schwarzwaldhaus 22cm,https://www.uhren-park.de/product_info.php/info/p6310_Trenkle--Schwarzwaldhaus-22cm--472-QM.html,159,"26,5","3,5","4,760,725","5712,87",
1561329298-63,"Height x Width = 26 x 26cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Fachwerk hell 26cm,https://www.uhren-park.de/product_info.php/info/p14147_Engstler--Fachwerk-hell-26cm--452-Q.html,162,"26,5","3,5","4,840,225","5808,27",
1561329518-111,"Height x Width = 23 x 24cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Hand shingeld roof
Wooden hands",Heidihaus 23cm,,164,"26,5","3,5","4,893,225","5871,87",
1561329248-45,"Table clock (also suitable to hang onto the wall)

Hight x Width = 21 x 26cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Tischuhr 21cm,https://www.uhren-park.de/product_info.php/info/p9050_Trenkle--Tischuhr-21cm--486-QM.html,166,"26,5","3,5","4,946,225","5935,47",
1561329245-44,"Hight x Wifth = 20 x 22cm

Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Bavaria 20cm,https://www.uhren-park.de/product_info.php/info/p9051_Trenkle--Bavaria-20cm--485-QM.html,166,"26,5","3,5","4,946,225","5935,47",
1561329270-56,"Hight x Width = 26 x 28cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Schwarzwaldhaus 26cm,https://www.uhren-park.de/product_info.php/info/p11713_Engstler--Schwarzwaldhaus-26cm--445-Q.html,167,"26,5","3,5","4,972,725","5967,27",
1561329258-50,"Hight x Width = 27 x 31cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Schwarzwaldhaus 27cm,https://www.uhren-park.de/product_info.php/info/p9692_Engstler--Schwarzwaldhaus-27cm--443-Q.html,168,"26,5","3,5","4,999,225","5999,07",
1561329274-58,"Height x Width = 23 x 21cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Hänsel & Gretel 23cm,https://www.uhren-park.de/product_info.php/info/p11879_Trenkle--Haensel---Gretel-23cm--501-QM.html,170,"26,5","3,5","5,052,225","6062,67",
1561329130-18,"Hight x Wifth = 26 x 27cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof

Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden weights
Holzzeiger",Musikanten 26cm,https://www.uhren-park.de/product_info.php/info/p2207_Trenkle--Musikanten-26cm--451-Q-HZZG.html,170,"26,5","3,5","5,052,225","6062,67",
1561329302-65,"Height x Width = 25 x 27cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Schwarzwaldhaus 25cm,https://www.uhren-park.de/product_info.php/info/p14164_Engstler--Schwarzwaldhaus-25cm--453-Q.html,173,"26,5","3,5","5,131,725","6158,07",
1561329357-91,"Height x Width = 33 x 24cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Wooden weights
Wooden hands",Ranken 33cm,,175,"26,5","3,5","5,184,725","6221,67",
1561329220-33,"Hight x Wifth = 24 x 31cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Tannengruppe 24cm,https://www.uhren-park.de/product_info.php/info/p6301_Engstler--Tannengruppe-24cm--409-Q.html,175,"26,5","3,5","5,184,725","6221,67",
